,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
228,Physical,Horizon,VIDEODISC,2007,12,70,return,,"Horror films, Video recordings for the hearing impaired, Suspense films, Visions Drama, Feature films, Criminal behavior Drama, Murder victims Drama, Nightmares Drama, Thrillers Motion pictures television etc, Women sales personnel Drama",,
229,Physical,Horizon,MUSIC,2007,12,2,treasury of Christmas songs and carols edited and annotated,,"Carols, Christmas music",,
230,Physical,Horizon,MUSIC,2007,12,1,"White blood cells [music] : [guitar, vocal] / the White Stripes.",White Stripes (Musical group),"Guitar music Rock, Rock music 2001 2010","Cherry Lane Music ; Distributed by Hal Leonard,",c2003.
231,Physical,Horizon,VIDEODISC,2007,12,6,Historys ancient legacies III,,"Celts, China History, Japan History, Civilization Ancient, Cities and towns Ancient, Great Britain History To 1066, India History, America History, Video recordings for the hearing impaired, Documentary videos",,
232,Physical,Horizon,SOUNDDISC,2007,12,17,Reflections [sound recording] : (a retrospective) / MJB.,"Blige, Mary J.",Popular music 2001 2010,"Geffen,",p2006.
233,Physical,Horizon,SOUNDDISC,2007,12,2,Selling Ben Cheever,,"Industries United States, United States Economic conditions 1981 2001, Cheever Benjamin 1948, United States Social conditions 1980, Employees United States Biography, Displaced workers United States, Working poor United States, Career changes United States Case studies",,
234,Physical,Horizon,BOOK,2007,12,1,Hunting season a novel,,"Suspense fiction, Washington D C Fiction, Fathers and daughters Fiction, Missing persons Fiction, Intelligence officers Fiction, West Virginia Fiction",,
235,Physical,Horizon,SOUNDDISC,2007,12,1,Pinmonkey,,"Country music 2001 2010, Bluegrass music 2001 2010",,
236,Physical,Horizon,VIDEODISC,2007,12,11,Four Noble Truths,,"Four Noble Truths, Buddhism Doctrines, Spiritual life Buddhism",,
237,Physical,Horizon,SOUNDDISC,2007,12,6,Movement Detroits electronic music festival 04,,"Underground dance music, Techno music, Popular music 2001 2010",,
238,Physical,Horizon,BOOK,2007,12,1,Alexandre Dumas; a great life in brief. [Translated from the French by Jack Palmer White.],"Maurois, André, 1885-1967",Dumas Alexandre 1802 1870,"Knopf,",1955 [i.e. 1954]
